File,epsilon_inf,t_sw,t_au,m,n,chi,reduced_chi,R_sq
e_086_04,3097.7720637877,7084.8438717302515,113.1630620385365,6.862817235346958e-31,1.092993136316567,624.4048590463112,48.031143003562410.9803171392495983,
e_090_02,5634.934138345258,937.6320523522464,65.20812487583322,5.056938497165918e-33,1.4806386021272893,3181.7336551315075,530.28894252191790.9783065949601369,
e_096_19,121107531.98250274,231962.7890189712,8779272.088633645,0.597742179431924,0.5885704033486502,9.999999999999996e-251,-inf0.9556996323487429,
e_096_20,5123.893285895305,414.86332268802107,129.5884193698823,0.3854783632063372,0.3759431793587992,126.94474394200527,18.134963420286470.9928408347079647,
e_096_21,3232.5496851641524,547.608627028769,16.46421704122567,4.999999999999999,1.579505504142284,718.5604075675911,102.651486795370160.9814811973480282,
e_096_22,8539.44043084323,311.0687622909641,1646.0133746270885,3.7931439967998113,0.5727627493533116,233.04316728162053,33.29188104023150.9881957138987896,
e_096_23,2732.831048550324,25332.355406803446,3.5051191401574977,1.891575832378644e-18,1.0127340072349202,831.1320621873232,118.733151741046160.8864987169263489,
e_096_24,6544.884454170928,232.46244936724372,687.0162083568913,3.52387552416645,0.6229949903391329,157.89132868444642,22.5559040977780650.9922448961827578,
e_096_25,9905.215289620313,151.93773566012277,1200.4357838875435,1.5821074668560702,0.33405902622258604,369.2935374159722,52.756219630853180.9730534462166679,
e_096_26,1231.7706690030448,23.3883800477268,7.157455462722018,4.9999999999824265,1.8254382509569842,169.590547030811,24.227221004401570.9436326566483012,
e_096_27,1365.6640976889364,3.481115862017675e-05,7.645473752377927,3.3074348589914626,3.767572138957724,250.6755024909654,35.8107860701379150.9727888949506401,
S_031_03,16159.532626084005,201.6427786529255,331.3378298811538,4.999999999999994,1.6259569942979075,1586.2921977868527,176.254688642983640.9894696913810609,
A_009_02,4569.6262565951565,28.797058356644406,51.263183855625144,0.6270764605094268,3.6342725663556927,4.169144943721168,4.1691449437211680.9999284748299219,
A_009_04,5273.027867147704,1.4579059224681463e-08,50.19517661460112,0.02311793509893357,3.3549646164542954,77.2498214725202,77.249821472520210.9986510162983362,
A_009_06,4671.1752486481,1.1802186918517864e-08,51.20528941580361,0.029137253923706412,3.0946823777855865,28.54409065713717,28.5440906571371720.9993893371672827,
A_009_08,6322.655315666762,0.1964751545060743,53.459783390106345,4.999906752800461,2.8534867195151232,23.331904820249232,23.3319048202492350.9996155256171151,
A_009_10,6559.563785955199,0.18473852938137147,53.9044751978627,4.9966172243198,2.7787662298393307,310.14218383250784,310.14218383250790.9967605382161411,
A_015_01,3486.88253626274,24765.121319823444,0.23041988897788954,4.995496508974861,4.999999999999999,53945.98578192702,1860.20640627334550.9849156519017475,
A_015_02,1283.1621416457965,3728.3343692748917,0.36899323889951297,4.954838891192977,4.999999999999999,11117.806380853828,483.38288612407950.975996452457524,
A_015_03,1874.3203011065964,8012.8449795185115,0.2770468841634469,4.9849313424380615,4.999999999999999,6558.93886693205,298.13358486054770.9932509699933899,
A_015_04,524.7740683014207,27.33824943425663,0.4955695721949148,7.192586137276386e-33,4.999999999999999,3605.465648376327,400.60729426403630.9278183216617654,
A_015_05,3460.680371722892,6455.6707188503215,0.22075801735061776,4.9941880952361055,4.999999999999999,63769.39363118537,1723.49712516717250.9843339595621686,
A_015_06,5438.249069645996,4410.413236329907,0.2328240731037896,4.995903114477146,4.999999999999712,192697.7771005693,5352.716030571370.9842340837408492,
A_022_01,1136.111577776469,24.93054563572491,0.3895020788309644,2.078494067077787,4.05243217716535,166.8585919061809,11.1239061270787260.11676126494489858,
A_022_02,37177.19384121187,47.310585788428895,39992.289759936604,1.997228485517729e-09,0.3138527182816318,187.9779835474293,12.5318655698286180.9982531236926245,
A_022_03,1154.0736268960325,277.09928354063715,7.994759899049858,3.4140066934643753e-13,1.6933215981293197,80.31969606944378,3.82474743187827530.98690566996462,
A_022_05,1373.5633911680936,0.025920794192138236,6.11252460376112,4.999987766712911,1.798790667443304,469.63824575019487,26.0910136527886040.9609676831277478,
A_022_07,6028.757689056299,6478.026295300518,3.3836363716616784,5.921233608838188e-29,1.2526876417002109,875.541548598522,39.797343118114640.9951498832862707,
A_022_09,3546.251973247965,2.136020319136416e-09,5.755446096608487,0.06031031938306414,1.253728870739108,563.2098680021752,17.0669656970356130.9931666858144605,
A_022_11,2483.942259231419,1.268014861487065e-12,3.4784851863505697,2.704192935785428,1.1336514193445415,86.19755956614831,4.1046456936261110.9968899438882484,
A_022_13,2477.593773642568,9.073557569998564e-12,4.212002743123268,1.2749843680472108,0.923825670698536,266.6802194584424,11.5947921503670610.9913867961388895,
