File,wb,ab,t dry,t,shrinkage strain
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1874.2163733333334,-325.22551682236957
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1899.1786077777779,-327.4019665665493
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1924.1408422222223,-329.5703358967578
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1949.1030766666668,-331.7305792582687
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1974.0653111111112,-333.8826571962752
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1999.0275455555557,-336.02653599277807
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2023.98978,-338.1621873232927
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2048.9520144444446,-340.2895879323798
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2073.914248888889,-342.40871932703914
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2098.876483333333,-344.5195674870427
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2123.8387177777777,-346.62212259131894
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2148.800952222222,-348.7163787595383
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2173.7631866666666,-350.8023338080904
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2198.725421111111,-352.8799890196741
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2223.6876555555555,-354.9493489257665
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2248.6498899999997,-357.01042110126826
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2273.6121244444444,-359.0632159706554
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2298.5743588888886,-361.10774662500984
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2323.5365933333333,-363.1440286493247
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2348.4988277777775,-365.17207995951696
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2373.461062222222,-367.1919206486102
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2398.4232966666664,-369.2035728415761
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2423.385531111111,-371.2070605583533
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2448.3477655555553,-373.2024095845898
A_086_14,0.3521730528259579,3.7369473938754414,1.0,2473.31,-375.18964734967574
A_086_18,0.3164873383327899,4.0747744810346695,1.0,3.04282,-20.629671739317484
A_086_18,0.3164873383327899,4.0747744810346695,1.0,32.51471070707071,-131.72225653699982
A_086_18,0.3164873383327899,4.0747744810346695,1.0,61.98660141414142,-180.89099334032872
A_086_18,0.3164873383327899,4.0747744810346695,1.0,91.45849212121213,-213.18170770590228
A_086_18,0.3164873383327899,4.0747744810346695,1.0,120.93038282828284,-236.99919481872425
A_086_18,0.3164873383327899,4.0747744810346695,1.0,150.40227353535354,-255.68604968129796
A_086_18,0.3164873383327899,4.0747744810346695,1.0,179.87416424242426,-270.9356201531816
A_086_18,0.3164873383327899,4.0747744810346695,1.0,209.34605494949497,-283.7281146665727
A_086_18,0.3164873383327899,4.0747744810346695,1.0,238.81794565656568,-294.6822454217268
A_086_18,0.3164873383327899,4.0747744810346695,1.0,268.28983636363637,-304.2132841895071
A_086_18,0.3164873383327899,4.0747744810346695,1.0,297.7617270707071,-312.61311269417115
A_086_18,0.3164873383327899,4.0747744810346695,1.0,327.2336177777778,-320.0944163180158
A_086_18,0.3164873383327899,4.0747744810346695,1.0,356.7055084848485,-326.81673738890566
