Unnamed: 0,File,type,Geometry,timescale,w/c,a/c,c,t dry,SiO2,FlyAsh,dt,shrinkage strain,t,wb,ab
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,390.3018,-19.3172,480.3018,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,419.3716,-21.6428,509.3716,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,450.4453,-23.3201,540.4453,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,477.0658,-24.2157,567.0658000000002,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,477.0658,-24.2157,567.0658000000002,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,32.43444,17.39733,122.43444,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,45.96734,20.91044,135.96733999999998,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,69.34685999999999,31.806040000000007,159.34686000000005,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,96.68481,30.8956,186.68481,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,126.8926,29.92578,216.8926,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,154.379,28.32261,244.379,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,183.5725,28.753090000000004,273.5725,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,212.9144,28.49085,302.9144,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,239.5349,27.59525,329.5349,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,271.3508,22.45423,361.3508,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,301.7566,23.89411,391.7566,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,329.1687,22.63731,419.1687,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,352.6967,22.84018,442.6967,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,382.4839,20.49975,472.4839,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,410.1682,21.30628,500.1682,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,441.9594,19.61405,531.9594,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,464.2009,19.15388,554.2009,0.426,4.624
126,e_037_04,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,464.2009,19.15388,554.2009,0.426,4.624
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,0.0,0.0,90.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,1.0,3.0,91.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,5.0,3.0,95.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,6.0,3.0,96.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,7.0,3.0,97.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,8.0,3.0,98.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,9.0,4.0,99.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,12.0,3.0,102.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,14.0,1.0,104.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,16.0,1.0,106.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,19.0,1.0,109.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,21.0,3.0,111.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,22.0,6.0,112.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,26.0,6.0,116.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,31.0,1.0,121.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,37.0,3.0,127.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,44.0,3.0,134.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,58.0,6.0,148.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,84.0,7.0,174.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,92.0,5.0,182.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,106.0,7.0,196.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,120.0,7.0,210.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,169.0,7.0,259.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,197.0,8.0,287.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,225.0,10.0,315.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,254.0,8.0,344.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,285.0,10.0,375.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,314.0,10.0,404.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,348.0,10.0,438.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,363.0,12.0,453.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,366.0,11.0,456.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,373.0,8.0,463.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,386.0,12.0,476.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,397.0,10.0,487.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,418.0,14.0,508.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,435.0,11.0,525.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,460.0,11.0,550.0,0.331,3.833
127,e_051_01,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,483.0,8.0,573.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,0.0,0.0,90.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,1.0,0.0,91.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,2.0,0.0,92.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,3.0,0.0,93.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,4.0,0.0,94.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,5.0,0.0,95.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,20.0,0.0,110.0,0.331,3.833
